Jurisdiction,Value,Race/ ethnicity,Year,Measure
State,48.1,All races/ ethnicities (aggregated),2016,Affordable Housing
Allegany,98.2,All races/ ethnicities (aggregated),2016,Affordable Housing
Anne Arundel,28.5,All races/ ethnicities (aggregated),2016,Affordable Housing
Baltimore City,76.4,All races/ ethnicities (aggregated),2016,Affordable Housing
Baltimore County,64.1,All races/ ethnicities (aggregated),2016,Affordable Housing
Calvert,49.5,All races/ ethnicities (aggregated),2016,Affordable Housing
Caroline,81.7,All races/ ethnicities (aggregated),2016,Affordable Housing
Carroll,28.6,All races/ ethnicities (aggregated),2016,Affordable Housing
Cecil,77.2,All races/ ethnicities (aggregated),2016,Affordable Housing
Charles,35.8,All races/ ethnicities (aggregated),2016,Affordable Housing
Dorchester,75.2,All races/ ethnicities (aggregated),2016,Affordable Housing
Frederick,42.6,All races/ ethnicities (aggregated),2016,Affordable Housing
Garrett,58.6,All races/ ethnicities (aggregated),2016,Affordable Housing
Harford,42.5,All races/ ethnicities (aggregated),2016,Affordable Housing
Howard,29.6,All races/ ethnicities (aggregated),2016,Affordable Housing
Kent,58.9,All races/ ethnicities (aggregated),2016,Affordable Housing
Montgomery,37.4,All races/ ethnicities (aggregated),2016,Affordable Housing
Prince George's,54.5,All races/ ethnicities (aggregated),2016,Affordable Housing
Queen Anne's,32.9,All races/ ethnicities (aggregated),2016,Affordable Housing
Saint Mary's,50.4,All races/ ethnicities (aggregated),2016,Affordable Housing
Somerset,86.2,All races/ ethnicities (aggregated),2016,Affordable Housing
Talbot,35.8,All races/ ethnicities (aggregated),2016,Affordable Housing
Washington,77,All races/ ethnicities (aggregated),2016,Affordable Housing
Wicomico,88.4,All races/ ethnicities (aggregated),2016,Affordable Housing
Worcester,62.5,All races/ ethnicities (aggregated),2016,Affordable Housing
Worcester,62.5,All races/ ethnicities (aggregated),2016,Affordable Housing
State,48.2,All races/ ethnicities (aggregated),2015,Affordable Housing
Allegany,96.1,All races/ ethnicities (aggregated),2015,Affordable Housing
Anne Arundel,30.7,All races/ ethnicities (aggregated),2015,Affordable Housing
Baltimore City,83.2,All races/ ethnicities (aggregated),2015,Affordable Housing
Baltimore County,63.4,All races/ ethnicities (aggregated),2015,Affordable Housing
Calvert,51.4,All races/ ethnicities (aggregated),2015,Affordable Housing
Caroline,79,All races/ ethnicities (aggregated),2015,Affordable Housing
