Date created,Year,MARYLAND,Allegany County,Anne Arundel County,Baltimore City,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,Somerset County,St. Mary's County,Talbot County,Washington County,Wicomico County,Worcester County
5/15/2017,2015,9712,16,1625,268,918,118,12,428,108,800,23,314,56,408,839,38,1186,1746,180,29,160,52,191,135,62
5/15/2017,2013,10346,32,1359,237,715,269,27,359,193,696,73,704,60,496,990,40,1624,1384,187,12,444,33,223,97,92
5/15/2017,2006,19814,137,1604,328,1813,393,321,654,441,970,317,1187,345,1353,1129,149,1429,2920,376,167,868,287,1086,719,821
5/15/2017,2008,10380,112,1160,239,728,234,76,251,245,453,144,577,216,577,801,71,963,1473,205,93,624,172,356,282,328
5/15/2017,2012,8599,62,1171,84,648,264,25,290,169,650,30,547,97,471,953,22,1079,979,160,18,489,43,142,123,83
5/15/2017,2011,8306,57,839,159,566,242,33,177,218,539,52,481,89,471,881,42,1099,1311,123,20,462,73,145,122,105
5/15/2017,2010,9048,65,925,115,514,220,47,195,211,641,78,766,106,565,967,53,1010,1179,196,24,516,128,241,169,117
5/15/2017,2007,14300,141,1173,270,1387,283,182,352,348,772,242,790,238,835,865,158,1295,2360,291,112,669,204,513,362,458
5/15/2017,2014,10186,17,1665,152,808,234,29,243,189,773,27,655,67,409,1089,41,1424,1272,197,25,400,47,210,85,128
5/15/2017,2009,9002,69,1053,237,495,266,66,192,228,464,48,603,151,462,825,122,945,1474,137,55,490,108,157,192,163
