,County,Large_Unt,Crowded_Unt,No_Vehicle,Group_Unt,Pop_Total,Pop_Dens,Median_Inc,Res_Parcel
0,Anne Arundel,28410.0,3264.0,8089.0,16092.0,576031,1295.9,96133,1455.0
1,Baltimore,62724.0,5144.0,24879.0,20798.0,828431,1345.5,73309,772.25
2,Calvert,1447.0,389.0,1309.0,650.0,92003,416.3,100000,221.25
3,Carroll,3818.0,396.0,2687.0,3479.0,168429,373.4,92890,330.0
4,Cecil,2477.0,583.0,1733.0,1550.0,102826,292.0,72259,164.75
5,Frederick,10028.0,1354.0,4445.0,4624.0,255648,353.5,91727,555.0
6,Harford,10081.0,985.0,4552.0,1951.0,253956,560.1,80922,446.0
7,Queen Anne's,380.0,253.0,535.0,464.0,50251,128.5,90696,181.0
8,Washington,5428.0,1065.0,4594.0,8858.0,150926,322.1,59828,191.5
9,Garrett,619.0,92.0,886.0,596.0,29163,46.5,46899,70.0
10,St. Mary's,2956.0,414.0,2109.0,2870.0,112664,294.4,82433,373.25
11,Talbot,579.0,62.0,921.0,399.0,36968,140.7,70620,43.75
12,Wicomico,4958.0,957.0,2609.0,4102.0,103195,263.7,52341,110.0
13,Charles,3560.0,650.0,1874.0,2137.0,161503,320.2,94478,729.75
14,Dorchester,985.0,125.0,1249.0,580.0,31998,60.3,47011,38.25
15,Howard,19807.0,2135.0,3974.0,2133.0,323196,1144.9,111576,967.75
16,Caroline,253.0,275.0,843.0,507.0,33304,103.5,56338,23.25
17,Kent,569.0,63.0,902.0,1634.0,19383,72.9,57760,35.25
18,Montgomery,102947.0,10973.0,28388.0,8787.0,1052567,1978.2,102944,1328.25
19,Worcester,19814.0,216.0,1490.0,753.0,51823,109.9,61405,91.25
20,Allegany,1835.0,254.0,3126.0,7644.0,70975,177.0,42564,31.75
21,Prince George's,75968.0,11812.0,27760.0,18893.0,909308,1788.8,80858,1345.25
22,Baltimore City,48374.0,4969.0,71257.0,24258.0,602495,7671.5,46762,185.25
23,Somerset,767.0,80.0,1030.0,6572.0,25675,82.8,40320,21.0
24,District of Columbia,140304.0,9930.0,100656.0,39967.0,702445,11506.0,77649,60.0
