OBJECTID,PROJECTNAME,LOCATION,WARD,DEVELOPER,ARCHITECT,STATUS,UNITS,TYPE,SQFT,ESTVALUEINMILION,ESTDELIVERY,PROJECTTYPE
26,Martin Luther King Jr. Library,"9th & G Sts., NW",2,DC Public Library,Mecanoo / Martinez & Johnson,Pipeline (Near Term),,,425000,198,2020,HOSPITALITY
27,SLS Lux Hotel & Residences,"901 5th St., NW",6,Peebles Corporation / MacFarlane Partners,WDG Architecture,Pipeline (Near Term),198,,137950,135,2019,HOSPITALITY
28,555 E Street,"555 E St., SW",6,CityPartners / Potomac Investment Prop.,Fxfowle Architects,Pipeline (Near Term),190,,131500,120,2019,HOSPITALITY
29,Latham Hotel,"3000 M St., NW",2,Thor Equities,Shalom Baranes Associates,Pipeline (Near Term),82,,99555,,2019,HOSPITALITY
30,Press House at Union District,"301 N St., NE",6,Foulger-Pratt,AA Studio / Torti Gallas and Partners,Pipeline (Near Term),175,,80366,150,2019,HOSPITALITY
31,ShowPlace Icon,"N Pl. & 1 1/2 St., SE",6,Forest City Washington,RTKL Associates,Pipeline (Near Term),,,66400,,2018,HOSPITALITY
32,Beacon Center,"6100 Georgia Ave., NW",4,Community Builders / Emory United Methodist Church,"Torti Gallas Urban, Inc.",Pipeline (Near Term),,,58000,36,2018,HOSPITALITY
33,Lacebark Alley,"51 N St., 50 Patterson St. & 1250 1st St., NE",6,The JBG Companies / Brandywine Realty Trust,Shalom Baranes Associates / Cooper Carry / David M. Schwarz Architects,Pipeline (Near Term),,,33000,275,2018,HOSPITALITY
34,Cleveland Park Library,"3310 Connecticut Ave., NW",3,DC Public Library,Perkins Eastman DC,Pipeline (Near Term),,,26710,20,2018,HOSPITALITY
35,Capital View Library,"5001 Central Ave., SE",7,DC Public Library,R. McGhee & Associates,Pipeline (Near Term),,,20000,5,2017,HOSPITALITY
36,601 Massachusetts Avenue,"601 Massachusetts Ave., NW",6,Boston Properties,Duda Paine Architects,Completed,,,460500,150,Q3 15,OFFICE
