,variable,value
0,District of Columbia,60.0
1,MARYLAND,9710.75
2,Allegany,31.75
3,Anne Arundel,1455.0
4,Baltimore City,185.25
5,Baltimore,772.25
6,Calvert,221.25
7,Caroline,23.25
8,Carroll,330.0
9,Cecil,164.75
10,Charles,729.75
11,Dorchester,38.25
12,Frederick,555.0
13,Garrett,70.0
14,Harford,446.0
15,Howard,967.75
16,Kent,35.25
17,Montgomery,1328.25
18,Prince George's,1345.25
19,Queen Anne's,181.0
20,Somerset,21.0
21,St. Mary's,373.25
22,Talbot,43.75
23,Washington,191.5
24,Wicomico,110.0
25,Worcester,91.25
